"";"x"
"Avaré";1
"Barretos";1
"Batatais";1
"Ibitinga";1
"Itapetininga";1
"Itapeva";1
"Jaboticabal";1
"Lençóis Paulista";1
"Mococa";1
"Pirassununga";1
"Porto Ferreira";1
"Registro";1
"Taquaritinga";1
"Cubatão";2
"Paulínia";2
"Francisco Morato";3
"Hortolândia";3
"Jandira";3
"Poá";3
"Várzea Paulista";3
"São Caetano do Sul";4
"Ibiúna";5
"Piedade";5
"Araçatuba";6
"Araras";6
"Birigui";6
"Botucatu";6
"Bragança Paulista";6
"Caraguatatuba";6
"Catanduva";6
"Franco da Rocha";6
"Guaratinguetá";6
"Itapecerica da Serra";6
"Itu";6
"Jaú";6
"Mogi Guaçu";6
"Ourinhos";6
"Pindamonhangaba";6
"Ribeirão Pires";6
"Salto";6
"Santa Bárbara d'Oeste";6
"Santana de Parnaíba";6
"São Sebastião";6
"Sertãozinho";6
"Tatuí";6
"Valinhos";6
"Votorantim";6
"Atibaia";7
"Fernandópolis";7
"Rio Claro";7
"Amparo";8
"Arujá";8
"Assis";8
"Bebedouro";8
"Caçapava";8
"Caieiras";8
"Cajamar";8
"Campo Limpo Paulista";8
"Cosmópolis";8
"Cruzeiro";8
"Embu-Guaçu";8
"Itanhaém";8
"Itapira";8
"Itatiba";8
"Leme";8
"Lins";8
"Lorena";8
"Mairiporã";8
"Matão";8
"Mirassol";8
"Moji Mirim";8
"Nova Odessa";8
"Penápolis";8
"Peruíbe";8
"Santa Isabel";8
"São João da Boa Vista";8
"São José do Rio Pardo";8
"São Roque";8
"Tupã";8
"Ubatuba";8
"Vinhedo";8
"Votuporanga";8
