;VAAgro%;Densidade;Urbanizacao;Populacao;Balanco;Receita;DespesaAgro
Adamantina;4,660;82,150;94,530;33794,000;1,238;87,701;2,561
Adolfo;48,220;16,860;89,970;3558,000;1,161;16,176;0,279
Aguaí;23,630;67,640;90,210;32113,000;2,316;57,609;0,000
Águas da Prata;1,540;53,020;89,270;7580,000;1,116;21,327;0,000
Águas de Lindóia;1,750;286,990;99,100;17257,000;2,557;44,688;0,000
Águas de Santa Bárbara;40,190;13,820;76,050;5598,000;2,066;24,455;0,272
Águas de São Pedro;0,000;487,180;100,000;2699,000;0,188;19,838;0,000
Agudos;11,270;35,710;95,570;34506,000;0,400;83,801;0,211
Alambari;53,620;30,590;75,180;4872,000;0,746;12,422;0,001
Alfredo Marcondes;10,170;32,850;83,650;3889,000;0,382;10,938;0,820
Altair;36,960;12,150;79,200;3813,000;0,249;13,107;0,127
Altinópolis;27,240;16,800;87,370;15606,000;1,994;41,462;0,759
Alto Alegre;32,830;12,860;78,840;4103,000;0,790;12,976;0,070
Alumínio;0,300;201,110;83,870;16825,000;1,528;77,991;0,000
Álvares Florence;22,620;10,750;67,950;3900,000;0,583;13,704;0,434
Álvares Machado;5,490;67,670;90,090;23506,000;2,794;43,542;0,985
Álvaro de Carvalho;17,120;30,330;63,490;4645,000;1,323;9,749;0,032
Alvinlândia;24,930;35,370;89,760;2999,000;0,069;10,480;0,157
Americana;0,110;1570,870;99,530;210387,000;11,456;587,782;0,000
Américo Brasiliense;3,220;280,440;99,240;34421,000;4,007;60,696;0,000
Américo de Campos;27,410;22,540;83,910;5705,000;1,647;13,501;0,348
Amparo;2,490;147,640;78,710;65782,000;3,377;162,226;0,418
Analândia;37,100;13,160;79,380;4287,000;0,069;20,694;0,163
Andradina;5,710;57,390;93,340;55333,000;NA;NA;NA
Angatuba;21,560;21,580;71,830;22184,000;0,365;45,917;0,619
Anhembi;49,220;7,660;75,540;5643,000;1,467;27,906;0,512
Anhumas;29,950;11,660;81,850;3735,000;0,087;13,387;0,197
Aparecida;1,590;289,110;98,550;35006,000;3,532;80,759;0,000
Aparecida d'Oeste;34,230;24,880;81,900;4454,000;1,211;12,014;0,162
Apiaí;15,870;25,870;72,320;25207,000;2,594;44,794;0,886
Araçariguama;0,080;117,210;100,000;17019,000;4,157;70,181;0,052
Araçatuba;2,640;155,450;98,070;181473,000;3,449;389,289;0,597
Araçoiaba da Serra;2,610;106,590;68,740;27226,000;1,816;54,911;0,495
Aramina;21,300;25,380;93,470;5149,000;0,180;16,315;0,154
Arandu;40,610;21,420;75,360;6123,000;0,671;17,751;0,230
