"";"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9"
"Adamantina";-1,30064428819675;-0,0506531699454254;-0,452389971964373;0,575563299727127;1,09649358946442;-0,285554330222377;-0,318975627008808;-0,187226988577891;0,139319121825646
"Adolfo";2,2911883442019;-0,472793455621715;0,94298332433234;-2,46285643082586;0,665760202865195;0,417894889563938;0,334877956867693;-0,301722171521312;-0,0245709738051328
"Aguaí";-0,53866853907642;0,0279507779119373;0,994117775380642;-0,385106179416161;-0,102254871137235;-0,149441436743936;0,26532096940856;-0,438175122642521;-0,292441062599517
"Águas da Prata";-0,068028351884082;0,922261574636585;0,60442956990124;0,189546304294199;-0,0208734459786671;0,0967432817483072;-1,16223145453437;0,789018864067815;0,194185513053165
"Águas de Lindóia";-1,91419105954258;1,99758029973935;-0,687834871607656;0,0634354038235546;0,0491844037988144;1,05840247729253;-0,0502651208171353;0,130399982073742;0,417007696140015
"Águas de Santa Bárbara";1,83813362303806;-0,583329345080775;0,791024654295406;-1,05938092197645;-0,363330609652974;0,148455801448485;0,52281581540363;-0,158117761119167;-0,00879841143582705
"Águas de São Pedro";-1,9136770160998;1,71824845410969;0,0377526651184754;0,997113736508677;-0,136337974111717;3,10628036346703;0,178311709901763;0,55892642286419;0,808176576389638
"Agudos";-1,44544141711929;0,179355920723692;0,746895060505197;0,270936925393309;0,306067288097889;-0,676430550254192;0,106387345376705;0,0179397333227378;-0,250754877855972
"Alambari";1,91645044820645;-0,13524116081888;1,0453916537516;-1,04810037596136;-0,960427878387331;0,175163664285588;1,7899958188248;-0,551325061223887;-0,197011065609148
"Alfredo Marcondes";1,12976568935564;-0,599832898187766;-2,15812205415398;1,46448419498015;2,18165456067149;0,27892661456011;0,0771183654531721;0,278125052754365;0,0749999781013276
"Altair";2,36977950236436;-0,805109330271062;1,22680147707726;-2,37733171063534;-0,07809035929593;0,463879832644588;-0,932016115786308;0,0610873679624639;0,048327031416883
"Altinópolis";1,06073024474265;-0,558662760464496;0,632029512429709;-1,43524421920552;0,572992614561096;0,0376395719752323;-0,581921128272721;-0,0483530306480717;-0,0141357353597818
"Alto Alegre";1,17959009295522;0,510501143421717;0,351987775811659;-0,178509270660083;-0,548611100802752;-0,158032104387239;0,980060809158469;-0,0546876361333956;-0,0588405370446866
"Alumínio";-2,31640470927698;0,268277431520151;-0,392831396730686;0,482432709974701;-0,689452661158528;0,260501024698561;0,192669931653994;1,37698859101383;-0,352720852463631
"Álvares Florence";1,39157198499219;-0,309203726578807;-0,877440484144887;0,737730855137553;-0,159033241106086;-0,106881244190145;0,453945782357497;0,101420137845182;0,00176147091565072
"Álvares Machado";-0,559324294591887;0,300708734450687;-0,169480612912147;1,12103646176423;0,703024366610398;-0,0258112031494526;-0,235306065200946;-0,0290423415372745;0,0546673130468515
"Álvaro de Carvalho";1,39371590701504;-0,172234613889627;0,345391724662983;-0,0844684862908491;-1,27089857791487;0,128723251935721;-0,851171587459246;0,341822725688491;0,124539490421866
"Alvinlândia";1,28207134380329;0,248285064065508;0,63177315371969;-0,803240172497015;0,496433553519577;0,359080990131429;-0,255745597249159;0,227024855795779;0,117834247649041
"Américo Brasiliense";-1,88785647236663;0,589464757073246;0,3269100871211;-1,04050773959656;0,244994996397746;1,22438779035323;-1,27367664758021;-0,0768041694036874;0,0592888185338838
"Américo de Campos";1,14744127775733;0,163600438337259;0,00314695859387677;0,0379314090656366;0,355911469894136;0,0653909457028906;0,590146140568244;-0,00625317566853913;-0,020955783886091
"Amparo";-3,4418323506283;-1,41238575195887;0,0840088897123913;0,291936837303847;-0,719143064522527;-0,765127258067978;-0,346266814724145;-0,286402202713568;-0,536297548365156
"Analândia";1,91672964132932;-0,426859065116638;1,06831895541967;-1,42040415588934;-0,252927935268868;0,246915274126522;-0,0328219700532817;-0,0531594999068102;0,0978499701739047
"Angatuba";0,543728825962263;-0,727424830079132;0,29389313968376;-0,153334858712749;-0,536958391616808;-0,252728935882883;-0,270842392568555;-0,11303004140067;-0,192410179031455
"Anhembi";2,31772203688002;-0,956300431704974;0,723474578767518;-1,56327464816504;-0,151841527064762;0,202393951308987;0,792468347400284;-0,438114066657366;0,00460781693904699
"Anhumas";1,57555624268545;-0,0232311808278801;0,479784441406879;-0,787487703602788;0,0748358828363877;0,126542817502663;0,0311087136033115;0,0627436117449397;0,0558496826861692
"Aparecida";-2,47915074315544;0,810163060805811;0,405690449697075;0,883011803769899;0,0513691329649856;1,09833742916153;-0,0327654062878311;-0,288467535791298;0,385530706606324
"Aparecida d'Oeste";1,23581557850068;0,413732571660265;0,194975518304532;-0,337678196223209;-0,162480533300206;-0,0119071300346631;1,00716684449015;-0,126824894405582;-0,0683533806125038
"Apiaí";0,54831365904056;-0,668609604900651;-0,193779990333729;-0,270443464719885;-0,19614224987958;-0,240626017352199;-0,876212268589365;-0,257029651284967;-0,0768998512966585
"Araçariguama";-3,35769473225955;5,52571696348714;-7,00345330935614;-5,48606296976378;0,101398537883659;-2,74734373529153;-0,154285964196686;0,740449275006376;-0,763046646540958
"Araçoiaba da Serra";-0,771296734556068;0,124762824816874;-0,591789994830658;1,15578459748638;-0,98717654456558;-0,128703878050026;-0,517524572489989;-0,103203106641858;0,104024124128704
"Aramina";0,365863547569286;1,18619164198477;0,188505981148487;0,173911267488353;0,351993197259332;-0,173075406119261;0,717182214632014;0,202275071680443;0,0208464738974692
"Arandu";2,25410724950973;-0,810455140466249;0,782919707347618;-1,97045951010073;-0,243494011587174;0,358861707485129;-0,263040778555715;-0,211993973022912;0,00945856693831681
"Arapeí";1,88092442295864;-1,59141756626406;-2,31080689378413;1,3372392477139;2,28905541741394;0,420202468352559;-0,311558054145695;0,253629240041695;0,151033055243592
"Arco Íris";2,33862443810326;-1,63777489475187;-2,1559668218673;0,941222701591718;0,555927353046987;0,15151629590137;0,337550845419516;-0,0339061528005064;-0,0229248595540043
"Arealva";1,45641855632494;-0,405775475273626;0,0987841101567095;-0,381656092024853;0,229524804391636;0,113563633864795;0,049974496048432;-0,0185683457108139;-0,0294724902576543
"Areias";1,62865977586316;-0,411139097799388;0,0862607182279482;-0,107766966629902;-0,647133108646714;0,0781062611879588;-0,524545330466314;0,246092619806391;0,1250412368116
"Ariranha";-0,312331624550316;0,207737777112568;0,653777775886406;-0,483210940346726;0,58886539185837;0,227739115370851;-1,31665445244503;1,23753680652767;-0,117420662573149
"Artur Nogueira";-2,26566677276988;0,303682280252727;-0,00163778876462209;0,292283397960141;-0,160431171353324;0,62827263639746;-0,344986020135775;-0,638076563229547;0,186120138350053
"Arujá";-6,05533640402386;-0,826354354527338;-0,316869957407661;-0,107206336598648;-0,724379448924106;3,70152991589551;0,187906288352693;-0,947797185190532;-0,121132115851941
"Aspásia";1,86248836164568;-0,35725562993096;-0,450196744148315;0,13063651966612;-0,337409371213193;0,104692788939659;1,5092818770405;-0,293714722105947;-0,102192928317034
"Assis";-4,52020831461959;-0,924686373009537;0,64682160642435;0,480462036660695;0,0233603001873742;-0,587663608114378;-0,348626474087774;-1,84617450737659;-0,326981870858371
"Auriflama";0,00979242532737906;0,365550218504851;-0,521638118421681;1,12666199414956;1,11593925360591;-0,0839098925617531;-0,0173722243001201;0,218838815575465;-0,0210964400892496
"Avaí";2,18969075530834;-0,774055625467493;0,350265253875094;-1,02644509241043;-0,668973189410856;0,147209288785317;0,144102041052565;-0,187378704619642;-0,0273434276604057
"Avanhandava";0,283460792821597;1,02522553298189;-0,0444671392711076;-0,191713298450338;-0,321657896412753;-0,337863197902217;0,497597706463561;-0,0205213603285874;-0,0627429069652601
"Avaré";-3,26228260457909;-1,2058527881473;0,616955714273109;0,141612127702609;0,627209666941285;-1,24586089009167;-0,381855017517157;-1,50576271795601;-0,330161351091222
"Bady Bassitt";-1,01881307135001;1,19150114873664;0,234061008405241;0,824487329189075;0,0503586223543955;0,340998571282893;-0,162908554346996;0,447360344865065;0,149390545232444
"Balbinos";1,69953840262301;-0,598246336842917;-4,52514072907748;0,337216774258551;-1,19288238628825;-0,5290915253575;-0,968716219848938;0,172579207225228;0,00441693090091837
"Bálsamo";0,170845940490768;1,12860091799172;0,577321389651064;0,100886593801348;-0,0544839316984605;0,0279991400767938;0,471224422577214;0,190331472224148;-0,0031570548448853
"Bananal";0,368026623499916;0,424490139258333;-0,0445990880657726;0,75529780329338;-0,0886742533868119;-0,222055809693152;-0,47113259687233;0,35764473004306;0,132685421073034
"Barão de Antonina";1,45102279456118;-0,585770714147335;-1,17795249470337;1,31687037735719;-0,316692827237085;-0,00174292326431361;0,329015451485008;0,171844977521119;0,0474032531227439
"Barbosa";0,543635875885855;0,672542438054905;0,248536839523991;0,740117815991225;-0,064958985547958;-0,0449729977406896;0,766713707658966;0,121080408464773;0,00912131364343623
"Bariri";-1,36543446798238;0,701697487575838;0,490745860290026;0,560241723201435;0,197851667154904;-0,342507439559043;-0,103291698939246;-0,0512298714445876;-0,163121559261163
"Barra Bonita";-2,42514688578396;0,618605015091878;0,357100173178789;0,523279920617053;0,0537799150136924;0,604550034101967;0,23078591811712;-0,113920617331689;0,0846932846610302
"Barra do Chapéu";2,88837482645416;-2,415523569193;-1,58400727914158;0,0831727971725007;-1,57963091938881;0,201722795612804;-1,59042182554867;0,107408162508627;0,124573110572078
"Barra do Turvo";1,30804655138763;-1,02574863811212;-1,98260397658493;2,01160094229655;-1,3135396037577;-0,376967932962067;-0,448585667526443;0,258679061844759;0,124564528914897
"Bastos";0,191829475751287;-0,474610668865568;0,281042532201277;-0,681631602178965;0,499167907761531;0,690323969339723;-1,38392758892869;0,104320116315245;0,122272162924728
"Batatais";-2,3704593501184;-0,0595195965472332;-0,0370053107905285;-0,00923867758877117;-0,126519952231637;-1,07626850656245;-0,0874923474302628;-0,702776606001243;-0,449893954646973
"Bebedouro";-4,17340234441591;-1,81021327087336;0,637971472937052;-0,657930493633948;0,290140706490157;-1,08549334752435;-0,354326370232466;0,163714920374905;-1,38875998780025
"Bento de Abreu";0,924250405913375;0,953819961139852;0,216793160621634;-0,246438166434907;0,269266090375734;-0,225031257535895;1,50477199909651;-0,0551970624965514;-0,0895462016670364
"Bernardino de Campos";0,0873697884819509;0,744594587602753;0,280060173376919;0,510557450256774;0,297356390120979;0,0208083710176891;-0,355305018556077;0,361225178517137;0,0796235532025885
"Bertioga";-3,3933826581274;-0,357175977178478;0,683002881950802;0,586370083249375;0,289589453189385;-1,2420967582468;0,0891798846245232;-0,356330957477575;1,56734954785593
"Bilac";0,104512486672442;0,911441189603335;0,107282275036291;0,772761709755843;0,50848328507023;0,0332111969830474;0,0552420669616939;0,403815675297519;0,130778830136661
"Biritiba Mirim";-0,210901971826967;-0,0640436987749763;0,916326397168259;-0,443077546209028;-0,169785531865378;0,22322164066845;-0,925342555076046;-0,273998338823166;0,0499973728512293
"Boa Esperança do Sul";1,24960805628207;-0,233553088038129;1,33519676586686;-1,74247872021302;0,228572870939668;0,171763154561524;-0,655370229858822;-0,123249406955585;0,0817907916461245
"Bocaina";-0,109770636282109;0,996829849146159;0,77179763486718;0,58055622539484;0,0353229986044094;-0,179749236304837;0,123815188209875;0,335956630452661;0,0914006907170184
"Bofete";4,19164623986858;-5,68506689929277;-6,16166189904037;1,19493432709591;6,05087205244046;1,13867614348436;0,101205347954568;-0,823868619031193;-0,0446125288770258
"Boituva";-2,94884573088759;-0,0350789197175624;-0,0401514180067978;0,457262216133578;0,15449385378589;-0,00564597199770525;-0,134202270807297;-0,136692811848521;-0,235329618850638
"Bom Jesus dos Perdões";-1,21799687075448;0,8159523044994;-0,0305302404183238;1,16772329258613;-0,134022225287294;0,624075224591813;-0,137595773316062;0,187390473867957;0,250352544942215
"Bom Sucesso de Itararé";1,21099518166991;-0,161910264564747;-0,540953802319149;0,792461309736493;-0,383278797663069;0,0508338597427471;-0,12720707684326;0,2973005944023;0,0979147010578656
"Borá";1,00758004826144;0,528938371238766;-0,0351019126389087;0,959968529025189;-0,288318628690065;-0,163896872320086;1,05490147665812;0,214790390593092;-0,0152934904354474
"Boracéia";0,245975056071054;0,948811113702098;0,660214296928963;0,527475910567618;0,0549409245372099;0,0543888734038054;-0,412379602862844;0,639140319374359;0,178898382724887
"Borborema";0,766553254103383;0,231735683845774;0,295444629924626;-0,525261410569798;0,429279805306377;-0,125408482727565;1,20766712239099;-0,435795536087718;-0,196596445377149
"Borebi";2,33378649828663;-0,16415930722054;1,5764034259606;-2,71348395731082;-0,0901398459794642;0,30921208346541;0,239928551020433;-0,257960522472788;0,00502779933104069
"Braúna";0,474273458080426;1,05771654193571;0,362333183095788;0,219518396221618;-0,143251781187062;-0,15839287548349;0,465250186396693;0,236962742416196;0,0688539708404797
"Brejo Alegre";1,80707787003481;-0,829516929095888;0,645165987878749;-1,51540201944614;0,710790782566864;0,659208624362837;-2,77826108426738;0,829155724626812;0,293118116768156
"Brodowski";-0,971244452787787;1,26706446991189;0,429267822247768;0,449762869379842;0,252739454866939;-0,184664582117986;0,0795797830483479;0,0496448395333575;0,0919686870287666
"Brotas";0,0707748138041133;0,033891592365056;0,916065469877699;-0,311029517910633;-0,155603941963637;-0,343795601287911;-0,0353145907725415;-0,105643571396768;0,0134776414824088
"Buri";1,19260850605014;-0,632212192297072;0,959682077538515;-1,24814384579154;-0,207848655327673;-0,0924611525830912;0,445314189806292;-0,522428948272665;-0,0790482502106171
"Buritama";-0,528206705451435;0,874811629647286;0,279653704780896;0,62958248347633;0,426401992614905;-0,228196850994516;0,00229310762645973;0,272334777517618;0,178236864829142
"Buritizal";0,264940086493172;0,582558600996831;0,0579069591695101;1,06456358122929;-0,0963269742257345;-0,197797124561166;-0,167704166891611;0,74085917659159;0,0666711716982996
"Cabrália Paulista";2,23083258728257;-0,185721256990494;1,46668725339226;-1,95537307067127;-0,253436653365336;0,250537444891934;2,29555159689529;-0,748432690512444;-0,326816349331693
"Cabreúva";-2,2676175875958;-0,246719599037826;0,0461319072277689;0,732930578962617;-0,304346035205396;-0,0154770213133841;-0,391085758307624;0,0848081777330436;-0,282881067186452
"Caçapava";-4,6625454298134;-1,44216428849025;0,108133857280103;0,259332066940818;-0,547349173541252;-0,482907787060965;-0,24042770433839;-0,74151123473888;-0,93601305840105
"Cachoeira Paulista";-0,988001462794848;0,141696438110253;-0,123205839635702;1,25278485134653;-0,127407794299888;0,0175186403028623;-0,354655038528669;-0,135026023000452;-0,0106896989755047
"Caconde";1,3219671798224;-2,08467758663105;-1,96107688672471;0,884963301309686;1,56921372436385;0,322966273231845;-1,13132397773869;-0,0740933899028039;0,0927780709645073
"Cafelândia";0,714049802683825;0,138347233075264;1,00946006250394;-0,858576202864934;-0,109639904975809;-0,123411515667445;0,0666868516964839;-0,197795164632543;-0,0915123438986374
"Caieiras";-6,67191289431565;-0,8408095902954;-0,465380921224095;-0,243972148980398;-0,791336214903562;4,43338458296393;0,184329579228247;-1,59356538312862;-0,0330026229313322
"Cajamar";-7,49350995507981;-2,67297112803713;-0,307285262057795;-1,3437526833145;-0,38861396793717;0,676192280879113;1,10144970617337;2,10006399879291;-1,35599506768185
"Cajati";-0,398198748419664;-0,322992496079229;0,338822291096513;0,253790705393729;-0,939043409218175;-0,345336930510591;-0,0318947657232136;-0,247452239368574;0,00280100492287962
"Cajobi";0,890295544805286;0,325711509373714;0,960872589907155;-0,986467634872642;0,393493015793543;0,339249182301657;0,237186235351815;-0,106026959580769;0,0456348012817495
"Cajuru";-0,260852087629026;0,438849168004377;0,83048056768587;0,136727714048468;-0,0497717489139656;-0,24243878161026;-0,326344703577726;-0,0671546230381937;-0,0210240134927921
"Campina do Monte Alegre";1,45554972744912;0,0904479461093064;0,601523681431517;-0,642329634270714;0,00146741546488543;0,154054164570919;1,3659411051144;-0,325888301056265;-0,103080161443037
"Campo Limpo Paulista";-7,19741570309458;4,74641909622166;-7,88995443650261;-6,20369993131592;-0,902947564489255;2,32481873373821;-0,28781750424434;-2,32344350131126;0,166047366628339
"Campos do Jordão";-2,81466274985891;0,453976829222291;0,245254222241278;0,694871132311026;0,390870620460329;-0,220134759234279;-0,186429514933189;-0,54321774486424;0,411873351864624
"Campos Novos Paulista";1,3945615335331;-0,0160444810056867;0,183574734143132;-0,0890728618722381;-0,163971802494208;-0,0410883511278036;0,719888007983385;-0,0314350625833537;-0,019881733361251
"Cananéia";0,633745098697702;0,0703784735222574;-0,0769065031158502;0,515254778686879;0,562486273983532;-0,186250658763129;0,329963698320072;-0,0251982506034489;0,0577768964538091
"Canas";-0,157409430279345;1,40061844542362;-0,123588303937624;0,674692645572922;0,345698438992427;0,214033676596287;-0,173513599909057;0,556613679898044;0,207227633016696
"Cândido Mota";-0,83929386500342;0,148940798534586;-0,0912789271032347;0,463732540169074;0,81746104937306;-0,414752402416755;0,349105542192971;-0,295646001238258;-0,0434340875309296
"Cândido Rodrigues";1,39277252954208;0,324981020474882;0,613728535179427;-0,612733457334523;-0,456232048146216;0,168616584546789;0,971471738664665;-0,101626417460457;-0,0172335572936552
"Canitar";0,012316079998423;1,55490272960361;-0,312258480373303;-0,167142729626608;0,40964165148032;0,0814699511571027;-0,0289405088430816;0,388740198870306;0,170931302786181
"Capão Bonito";-0,392277941823388;-0,92280176672971;0,680567812013741;-0,698655345758855;-0,130571243861334;-0,619942258295016;0,0942489020023773;-1,0788421248332;-0,296252001361516
"Capela do Alto";0,0247458779276013;0,251742791628656;0,601377409718075;0,028322623654764;-0,384818351896478;0,370162201369619;-0,34415047528209;-0,0237636136742221;0,141073701126465
"Capivari";-2,66143478855128;-0,231275019980526;-0,895143133343913;0,229666012138544;0,825134632464603;-0,440217703416229;-0,067359808571672;-0,400099824185895;0,0556240161575939
"Cardoso";0,480207023854348;0,594943304612857;0,971375393990868;-0,288309213353769;0,0182150168265194;-0,167450943113581;0,445035780919598;-0,0347605834556195;0,0625145298490495
"Casa Branca";0,626592801534499;-0,940835788881017;0,974378940368376;-1,15191387725981;-0,0660101903274743;-0,0810089359345906;-0,0308055104037511;-0,558752154874292;-0,213277635514622
"Castilho";0,0296886392344883;-0,666335828879431;-0,393000956345965;0,076548193980837;0,07197038537976;-0,412135208110129;-0,969724422053558;0,567036941512986;-0,0427411007446018
"Catiguá";1,04652969990601;0,184160620037368;0,967167431861873;-0,943490697937973;0,525523932025679;0,465332434240724;-0,682248941823831;0,23230910116308;0,112786748936363
"Cedral";0,31294302693904;0,633825690258842;0,286300128957594;0,807386873032814;-0,551092775051805;-0,0863331746561315;0,180641734546067;0,303211170842154;0,0915097792039009
"Cerqueira César";0,146069593553997;-0,0534823962166562;0,314916336037518;0,0419973736772186;0,641329882177107;-0,0379536974830433;-0,421222709005423;0,192433735128435;-0,0415630032918451
"Cerquilho";-3,85051090517816;-0,641221461668974;0,0371876798671574;-0,0418268427837467;-0,126716171950271;0,808496396042519;0,202445695123625;1,22212353184977;-1,00854500372944
"Cesário Lange";0,0753697007397117;0,0705335307863003;-0,314576640474776;0,716785290563991;-1,03382658163478;0,0108589570609694;-0,480346750592476;0,180808667442159;0,118855684238981
"Charqueada";-0,4658425538833;0,941109252385988;0,614747071724111;0,654993157967531;-0,101485510918659;0,142316860174611;-0,02023254032669;0,223643281162267;0,0982076273409266
"Chavantes";-0,356600239856983;1,10330692997017;0,263974329055428;0,187444135414526;0,144217846523151;-0,00684103151182458;-0,653264803331886;0,503260407604056;0,0797703567862955
"Clementina";-0,141527477989768;1,09443060244731;-0,0698722332221287;1,05352166637456;0,754311491036228;-0,0574615191283321;0,295724289942044;0,464605585270871;0,0769984411563623
"Colina";-0,565108871446177;0,914427507177279;0,53663932611136;0,18910621707031;0,0691698517208663;-0,36793528082198;0,232426238526414;0,200300489059399;0,0134947692668994
"Colômbia";3,10468660828081;-1,84877859385256;0,857743023190339;-2,68083135852093;0,0199957734733845;0,466012413845058;0,472442389701363;-0,616828468992897;-0,0277078144464887
"Conchal";-0,735265664396263;0,464761577488121;0,496187576461124;-0,530741876257508;0,167018216445109;0,307968321298493;0,246934618349594;-0,326448618521167;0,123705897787183
"Conchas";0,127962043765469;-0,0213925920349294;-0,50633395128191;1,05743653271554;0,408588237257675;-0,162733208884487;-0,0291054982064128;0,114660719785856;0,000607533754659217
"Cordeirópolis";-2,26877130866759;0,155741757600109;0,110774840807266;0,412419102927583;-0,286330614295931;-0,0227480938966146;0,124672929993875;1,21511003233515;-0,318748467359774
"Coroados";1,13133561542339;0,411887377562558;0,648592270101185;-0,144742545857279;-0,461782773201191;-0,0168018241952137;0,916756568651444;-0,0525008346236592;-0,0718611574041285
"Coronel Macedo";1,54313840148586;-0,105744620781429;-0,0122192028375715;-0,306618226457836;-0,0732438347956764;0,0211944028654122;0,862709417087849;-0,172534527396347;-0,0703583088650498
"Corumbataí";1,84644406243037;-0,547597642440125;-0,0775595149669434;-0,137482585997792;-1,74988642262062;-0,132163991141494;0,437539535100221;-0,050983454004787;-0,0236520452859279
"Cosmópolis";-3,74604417407146;0,304637681534137;-0,543056671300725;0,212119264449719;-0,279926109820694;1,08692252693823;-0,195786964491298;-0,869530124688043;-0,0230261189168154
"Cosmorama";1,69339226211426;-0,60447781620718;-0,566169029040679;0,0283042565160111;-0,229954354784924;-0,0373389122800892;1,03418673030905;-0,319857859241498;-0,126785407888835
"Cravinhos";-1,56264124450796;0,735273698559533;0,544222970881831;0,194995817489966;0,263451274047231;-0,195149610501237;-0,31372920874041;-0,0749489767698569;0,134784011178315
"Cristais Paulista";1,90010773093874;-0,862361678216546;0,366835511661687;-1,32709142863012;-0,148972074558229;0,274905312442614;-0,780146163618847;0,0574750863402885;0,00342401593837748
"Cruzália";1,38439798368668;-0,0695281444071469;-0,493417009083689;0,481950157930094;-0,668066517937004;-0,0936289583429275;0,330585441905979;0,194315571286613;0,0059006778605471
"Cruzeiro";-3,95680425324402;-0,237786079907384;0,46932628727075;0,577895416905693;0,0534356959946139;0,124726950365045;-0,321586587091049;-1,30418590424646;-0,368398843266803
"Cunha";1,02048972776415;-1,1466186264611;-0,665239855597661;0,284500245990478;-0,927039746576252;-0,307311377964727;-1,08043903057388;-0,233442991494382;0,113688948719091
"Descalvado";-0,738855966197183;-0,459667063672259;-0,274191542139528;0,339244388087807;0,85522064219837;-0,440756924646173;-0,0837490652133771;-0,10638882031799;-0,12436832757901
"Dirce Reis";0,971903960167181;0,481781064794799;-0,372417589700796;0,806580742168685;-0,295236260787951;-0,130333099823416;0,741529858222363;0,220888884993326;0,0220288309155174
"Divinolândia";0,167260935744119;0,442892077723871;-0,428484301521703;1,04985853308008;-1,11918705611982;-0,214704134336499;-0,402567327188078;0,34908857804619;0,0895454063185366
"Dobrada";-0,143851197762573;1,77339848781952;0,172488757953685;-0,0699392575221511;0,255054179395433;-0,152520876995615;0,448085393925548;0,207830480820449;0,0147863840281451
"Dois Córregos";-0,566566334718307;0,304298812126475;-0,197448224100373;0,361134092735334;0,962612520642987;-0,341455651466057;0,0276204411421044;-0,0390526603401763;-0,12890429446761
"Dolcinópolis";0,99884097109397;0,512827656375807;-0,911725958931354;0,246763675644932;1,41176859186965;0,0577049827583679;0,957955737588692;0,0627854559692882;-0,015680956203626
"Dourado";0,443930548190924;0,4960309215316;0,667074075130374;0,0853387122742412;0,436838027319389;0,203247217103084;-0,500132072217743;0,380169686003693;0,126631010643059
"Dracena";-1,30777533603403;-0,753720301686997;-0,609804373366427;1,21910151929159;1,46881256090588;-0,115303850166482;-0,228620876208519;-0,523341740956908;-0,16532490866883
"Duartina";-0,191051322485779;0,993358810835755;0,2703653342097;0,667498633316386;0,105891881769366;-0,110848706940973;-0,191629229020185;0,323107309794871;0,094138082603579
"Dumont";-0,0921232857749748;1,32664164956246;0,62098387672694;0,113061174006812;0,214078692594962;0,172890541710639;0,122243593787745;0,305604235169806;0,11887976094511
"Echaporã";1,42890640531407;-0,0324155673215913;0,34698000056873;-0,463491065513044;-0,112020149454941;0,000693154937539311;0,611428219331039;-0,12166969847652;-0,0505533336261107
"Eldorado";3,22255146913507;-3,70494140370917;-2,4503552908132;-0,0555244563192345;1,27098623493024;0,453579082069355;-0,27561514410775;-0,714986183281124;-0,0507331583792391
"Elias Fausto";-0,3678399298892;-0,330516608991646;-0,827558083662708;1,26212735476264;0,44626881263413;0,0742180931440266;-0,182661731770538;0,574381314636499;-0,174088397478869
"Elisiário";1,46230132830714;-0,0419468176718256;0,228401214534739;-0,845038835443483;1,05522226308198;0,408228025002236;-0,101542473880954;0,127785904375113;0,100198825918229
"Embaúba";1,62772503215153;0,289273201130313;0,869072207795752;-1,1346995825605;-0,197800681534284;0,212702796386138;0,997605775380016;-0,193347731985339;-0,0499217363370204
"Embu-Guaçu";-3,68584588358906;0,427019979817803;-0,0805106291635952;0,491481712582478;-0,0732855370624432;1,43924958917399;-0,32441501429787;-1,28097679576117;0,147852334058049
"Emilianópolis";1,30543047171672;0,139568671977142;-0,192456635758841;0,17988487063381;0,412699433260194;0,022552541913245;0,787649951864489;0,0256184559011994;-0,0115982723448684
"Engenheiro Coelho";0,0285510818490346;-0,159998158765095;-0,804816606575134;0,675650422121347;-0,273603816648994;0,536150685750483;-0,0689953335550819;-0,0127915051255559;0,147806216372368
"Espírito Santo do Pinhal";-1,45427959516254;-0,254435840294891;0,0779397546457829;0,457494849034164;0,34810664572077;-0,104359374733473;-0,481430463675998;-0,360128062863227;-0,249683654782437
"Espírito Santo do Turvo";1,64194731626563;-0,747849322897812;0,130203345235913;-1,23864994786585;1,22676195979562;0,550183913299662;-2,4645117880932;0,686185145845712;0,30849597454543
"Estiva Gerbi";-0,194443156159526;0,696123750089563;-0,399216777127295;0,513945111144658;-0,399890416548256;0,473100924240335;-0,322955607842991;0,353037913014213;0,177262849500083
"Estrela do Norte";1,36608200890378;0,10898463626231;-0,385249912718003;0,191660414064709;0,209045635829184;-0,0561099089765755;0,819155922003406;0,0201705882858626;-0,0308465169854756
"Estrela d'Oeste";0,400255638008448;-0,334397786909783;-1,21496627081678;1,18055725275032;1,24118836816229;-0,0095680054751085;-0,133229854672585;0,622622730545251;-0,157096587447022
